Term,Course Number,Course Title,Section,Teach Type,Meeting Day,Meeting Time,Room,GROUP,,,,,,,,,,,,,,Total,รหัสกลุ่ม,สาขาวิชา,จำนวนนิสิต
1661,2303102,GEN BIO LAB I,3,LAB,TH,13:00-16:00,MHMK-409,4,42,31,,,,,,,,,,,,128,,,
1661,2303102,GEN BIO LAB I,4,LAB,FR,13:00-16:00,MHMK-401,25,28,40,27,2,,,,,,,,,,65,,,
1661,2303102,GEN BIO LAB I,5,LAB,FR,13:00-16:00,MHMK-409,8,9,26,33,45,,,,,,,,,,116,,,
1661,2303107,GENERAL BIOLOGY,1,LEC,MO WE FR,10:00-11:00,MHMK-M02,14,15,16,17,37,38,,,,,,,,,120,,,
1661,2303107,GENERAL BIOLOGY,2,LEC,MO WE FR,09:00-10:00,MHMK-M02,10,11,18,19,32,44,13,12,3,,,,,,144,,,
1661,2303107,GENERAL BIOLOGY,3,LEC,MO WE FR,08:00-09:00,MHMK-M01,23,24,29,30,43,34,35,36,,41,,,,,250,,,
1661,2303108,GEN BIOL LAB,1,LAB,MO,13:00-16:00,MHMK-401,23,24,29,37,38,,,,,,,,,,236,,,
1661,2303108,GEN BIOL LAB,2,LAB,MO,13:00-16:00,MHMK-409,18,19,3,41,30,,,,,,,,,,101,,,
1661,2303108,GEN BIOL LAB,3,LEC,TU,09:00-12:00,MHMK-401,14,15,16,17,,,,,,,,,,,109,,,
1661,2303108,GEN BIOL LAB,4,LEC,TU,09:00-12:00,MHMK-409,32,44,,,,,,,,,,,,,119,,,
1661,2303108,GEN BIOL LAB,5,LEC,TU,13:00-16:00,MHMK-409,34,35,36,43,,,,,,,,,,,121,,,
1661,2303108,GEN BIOL LAB,6,LEC,WE,13:00-16:00,MHMK-409,10,11,12,13,,,,,,,,,,,128,,,
1661,2305160,NATURE GENETICS,1,LEC,MO,09:00-10:00,BOT-415,5,31,45,,,,,,,,,,,,122,,,
1661,2305201,NATURE OF BOTANY,1,LEC,MO,10:00-11:00,BOT-319,4,42,,,,,,,,,,,,,52,,,
1661,2306101,INTRO CHEM ENG,1,LEC,FR,13:00-16:00,MHMK-202,20,21,22,39,,,,,,,,,,,51,,,
1661,2307101,EARTH DYNAMICS,1,LEC,FR,13:00-16:00,GEO-421,23,24,,,,,,,,,,,,,108,,,
1661,2308101,EXPL WORLD ENV SC,1,LEC,TU,13:00-16:00,ลงทะเบียนช่วงเปิดเทอม,25,26,27,,,,,,,,,,,,45,,,
1661,2311102,MATERIALS TODAY,1,SMNA,WE,13:00-15:00,MHMK-207,29,30,43,,,,,,,,,,,,85,,,
1661,2313101,INTRO IMAG PRINT,1,LEC,TU,13:00-15:00,ลงทะเบียนช่วงเปิดเทอม,32,44,,,,,,,,,,,,,95,,,
1661,5500111,EXP ENG I,25,LEC,WE,13:00-16:00,MHMK-307,3,32,41,,,,,,,,,,,,51,,,
1661,5500111,EXP ENG I,26,LEC,MO,13:00-16:00,MHMK-304,2,39,,,,,,,,,,,,,193,,,
1661,5500111,EXP ENG I,27,LEC,TU,13:00-16:00,MHMK-304,23,,,,,,,,,,,,,,221,,,
1661,5500111,EXP ENG I,28,LEC,TU,13:00-16:00,MHMK-305,28,,,,,,,,,,,,,,33,,,
1661,5500111,EXP ENG I,29,LEC,TU,13:00-16:00,MHMK-204,4,37,,,,,,,,,,,,,34,,,
1661,5500111,EXP ENG I,30,LEC,WE,13:00-16:00,TAB-311,20,,,,,,,,,,,,,,32,,,
1661,5500111,EXP ENG I,31,LEC,FR,13:00-16:00,TAB-229,14,,,,,,,,,,,,,,32,,,
1661,5500111,EXP ENG I,32,LEC,FR,13:00-16:00,TAB-308,15,,,,,,,,,,,,,,34,,,
1661,5500111,EXP ENG I,33,LEC,MO,13:00-16:00,MHMK-203,22,,,,,,,,,,,,,,31,,,
1661,5500111,EXP ENG I,34,LEC,TH,13:00-16:00,TAB-310,21,,,,,,,,,,,,,,33,,,
1661,5500111,EXP ENG I,35,LEC,TH,08:00-11:00,MHMK-305,35,,,,,,,,,,,,,,33,,,
1661,5500111,EXP ENG I,36,LEC,TH,09:00-12:00,MHMK-304,42,,,,,,,,,,,,,,32,,,
1661,5500111,EXP ENG I,37,LEC,TH,08:00-11:00,MHMK-205,34,,,,,,,,,,,,,,32,,,
1661,5500111,EXP ENG I,38,LEC,TH,09:00-12:00,MHMK-307,19,,,,,,,,,,,,,,32,,,
1661,5500111,EXP ENG I,39,LEC,TU,08:00-11:00,TAB-231,33,24,,,,,,,,,,,,,30,,,
1661,5500111,EXP ENG I,40,LEC,TU,13:00-16:00,TAB-230,16,,,,,,,,,,,,,,32,,,
1661,5500111,EXP ENG I,41,LEC,TU,09:00-12:00,MHMK-205,25,,,,,,,,,,,,,,33,,,
1661,5500111,EXP ENG I,42,LEC,TU,13:00-16:00,TAB-231,17,31,,,,,,,,,,,,,34,,,
1661,5500111,EXP ENG I,43,LEC,TU,13:00-16:00,MHMK-204,13,,,,,,,,,,,,,,33,,,
1661,5500111,EXP ENG I,44,LEC,TH,09:00-12:00,MHMK-203,18,,,,,,,,,,,,,,30,,,
1661,5500111,EXP ENG I,45,LEC,TU,13:00-16:00,MHMK-205,29,,,,,,,,,,,,,,34,,,
1661,5500111,EXP ENG I,46,LEC,MO,13:00-16:00,TAB-308,12,,,,,,,,,,,,,,34,,,
1661,5500111,EXP ENG I,47,LEC,MO,13:00-16:00,MHMK-206,9,,,,,,,,,,,,,,33,,,
1661,5500111,EXP ENG I,48,LEC,FR,13:00-16:00,MHMK-206,36,,,,,,,,,,,,,,31,,,
1661,5500111,EXP ENG I,49,LEC,TH,09:00-12:00,MHMK-206,6,,,,,,,,,,,,,,34,,,
1661,5500111,EXP ENG I,50,LEC,MO,13:00-16:00,MHMK-204,1,,,,,,,,,,,,,,33,,,
1661,5500111,EXP ENG I,51,LEC,TH,09:00-12:00,TAB-229,7,,,,,,,,,,,,,,32,,,
1661,5500111,EXP ENG I,52,LEC,TU,09:00-12:00,TAB-228,26,,,,,,,,,,,,,,31,,,
1661,5500111,EXP ENG I,53,LEC,TH,13:00-16:00,MHMK-307,5,,,,,,,,,,,,,,34,,,
1661,5500111,EXP ENG I,54,LEC,TU,09:00-12:00,MHMK-305,10,,,,,,,,,,,,,,30,,,
1661,5500111,EXP ENG I,55,LEC,FR,13:00-16:00,MHMK-203,30,,,,,,,,,,,,,,30,,,
1661,5500111,EXP ENG I,56,LEC,TU,09:00-12:00,MHMK-203,27,40,,,,,,,,,,,,,33,,,
1661,5500111,EXP ENG I,173,LEC,TU,09:00-12:00,TAB-311,11,38,,,,,,,,,,,,,32,,,
1661,5500111,EXP ENG I,174,LEC,TU,08:00-11:00,MHMK-206,43,,,,,,,,,,,,,,32,,,
1661,5500111,EXP ENG I,175,LEC,TU,13:00-16:00,TAB-308,8,,,,,,,,,,,,,,33,,,
1661,5500111,EXP ENG I,176,LEC,TH,13:00-16:00,TAB-311,44,45,,,,,,,,,,,,,34,,,
,,,,,,,รวม = ,,,,,,,,รวม EXP ENG I =,,,,,,,32,,,
,,,,,,,,,,,,,,,,,,,,,,31,,,
,,,,,,,,,,,,,,,,,,,,,,34,,,
,,,,,,,,,,,,,,,,,,,,,,1167,,,
